Cell	Comparison	Batch	Group_1_n	Group_2_n	Difference_in_medians	Direction	P_value	FDR_within_batch
B cells naive	IPAH_vs_Control	2	9	9	0.0263841320060231	Higher_in_Group_1	0.042260106083956646	0.4354015565106587
B cells memory	IPAH_vs_Control	2	9	9	-0.0130977195259472	Lower_in_Group_1	0.0791639193655743	0.4354015565106587
Plasma cells	IPAH_vs_Control	2	9	9	-8.216089983619e-4	Lower_in_Group_1	0.035417716821894145	0.4354015565106587
T cells CD8	IPAH_vs_Control	2	9	9	-0.0022813243588716003	Lower_in_Group_1	0.6588432549492806	0.838237098500393
T cells CD4 naive	IPAH_vs_Control	2	9	9	0	No_difference	0.07724298088596988	0.4354015565106587
T cells CD4 memory resting	IPAH_vs_Control	2	9	9	-0.019826363714563977	Lower_in_Group_1	0.3772246166674534	0.5927815404774267
T cells CD4 memory activated	IPAH_vs_Control	2	9	9	-0.0095507505740503	Lower_in_Group_1	0.2154233946848984	0.5927815404774267
T cells follicular helper	IPAH_vs_Control	2	9	9	-0.003016451165344901	Lower_in_Group_1	0.42653799941096626	0.6255890658027504
T cells regulatory (Tregs)	IPAH_vs_Control	2	9	9	0.0028155673498009987	Higher_in_Group_1	1	1
T cells gamma delta	IPAH_vs_Control	2	9	9	0	No_difference	0.3740627974908826	0.5927815404774267
NK cells resting	IPAH_vs_Control	2	9	9	-0.006981458245201001	Lower_in_Group_1	0.7239320396139757	0.838237098500393
NK cells activated	IPAH_vs_Control	2	9	9	0.013056045900468702	Higher_in_Group_1	0.2509982704429227	0.5927815404774267
Monocytes	IPAH_vs_Control	2	9	9	0.0017287513034974014	Higher_in_Group_1	0.2509982704429227	0.5927815404774267
Macrophages M0	IPAH_vs_Control	2	9	9	0.0050470863053441	Higher_in_Group_1	0.15770438746307755	0.5927815404774267
Macrophages M1	IPAH_vs_Control	2	9	9	0.0016975662247401997	Higher_in_Group_1	0.21637300805763746	0.5927815404774267
Macrophages M2	IPAH_vs_Control	2	9	9	0.006800703335395999	Higher_in_Group_1	0.3772246166674534	0.5927815404774267
Dendritic cells resting	IPAH_vs_Control	2	9	9	1.5116736061689812e-4	Higher_in_Group_1	0.7239320396139757	0.838237098500393
Dendritic cells activated	IPAH_vs_Control	2	9	9	-1.682965155047969e-4	Lower_in_Group_1	1	1
Mast cells resting	IPAH_vs_Control	2	9	9	0.002714849912904202	Higher_in_Group_1	0.47992869214595724	0.6599019517006912
Mast cells activated	IPAH_vs_Control	2	9	9	0	No_difference	0.31770446866483665	0.5927815404774267
Eosinophils	IPAH_vs_Control	2	9	9	0.006863617917107399	Higher_in_Group_1	0.9294912236938482	1
Neutrophils	IPAH_vs_Control	2	9	9	-0.0013187535382639002	Lower_in_Group_1	0.28906586939723106	0.5927815404774267
B cells naive	IPAH_vs_Control	1	15	15	-0.024432487015152597	Lower_in_Group_1	0.02792505735330741	0.20478375392425432
B cells memory	IPAH_vs_Control	1	15	15	0.0147895522621807	Higher_in_Group_1	0.027143397979570227	0.20478375392425432
Plasma cells	IPAH_vs_Control	1	15	15	0.0033169466345644	Higher_in_Group_1	0.4058166035769002	0.9919961420768673
T cells CD8	IPAH_vs_Control	1	15	15	0.010965436960834192	Higher_in_Group_1	0.5897385933186072	1
T cells CD4 naive	IPAH_vs_Control	1	15	15	0	No_difference	0.5645292350986011	1
T cells CD4 memory resting	IPAH_vs_Control	1	15	15	-0.027150504250577023	Lower_in_Group_1	0.3614963660708982	0.9919961420768673
T cells CD4 memory activated	IPAH_vs_Control	1	15	15	0.007390011415570099	Higher_in_Group_1	0.360425626134099	0.9919961420768673
T cells follicular helper	IPAH_vs_Control	1	15	15	0	No_difference	0.8520631098283671	1
T cells regulatory (Tregs)	IPAH_vs_Control	1	15	15	-0.0048157434995187084	Lower_in_Group_1	0.8681678565418436	1
T cells gamma delta	IPAH_vs_Control	1	15	15	0	No_difference	1	1
NK cells resting	IPAH_vs_Control	1	15	15	-0.0067497666447383	Lower_in_Group_1	0.9831415685189673	1
NK cells activated	IPAH_vs_Control	1	15	15	-0.006197734256997406	Lower_in_Group_1	0.9669147771731937	1
Monocytes	IPAH_vs_Control	1	15	15	6.859614695712973e-4	Higher_in_Group_1	0.6482039260122094	1
Macrophages M0	IPAH_vs_Control	1	15	15	-0.0016077008744145999	Lower_in_Group_1	0.8357050269952793	1
Macrophages M1	IPAH_vs_Control	1	15	15	0.00063136537138590125	Higher_in_Group_1	0.9338864180775845	1
Macrophages M2	IPAH_vs_Control	1	15	15	0.0039801858090640005	Higher_in_Group_1	0.3832029541996128	0.9919961420768673
Dendritic cells resting	IPAH_vs_Control	1	15	15	0.003629753670547098	Higher_in_Group_1	0.3832029541996128	0.9919961420768673
Dendritic cells activated	IPAH_vs_Control	1	15	15	4.559078451231019e-4	Higher_in_Group_1	0.6186695570822622	1
Mast cells resting	IPAH_vs_Control	1	15	15	-0.001042338231522194	Lower_in_Group_1	0.7400217511938185	1
Mast cells activated	IPAH_vs_Control	1	15	15	0	No_difference	0.3939307490661609	0.9919961420768673
Eosinophils	IPAH_vs_Control	1	15	15	0.007530007147054599	Higher_in_Group_1	0.6781672665761016	1
Neutrophils	IPAH_vs_Control	1	15	15	-0.0041195092032054	Lower_in_Group_1	0.003690585198680715	0.08119287437097572
B cells naive	Female_vs_Male_within_IPAH	2	3	6	-0.03573548818683339	Lower_in_Group_1	0.24527811680677283	0.8136812448756902
B cells memory	Female_vs_Male_within_IPAH	2	3	6	2.098191664431e-4	Higher_in_Group_1	0.35738571603752656	0.8136812448756902
Plasma cells	Female_vs_Male_within_IPAH	2	3	6	0	No_difference	0.23859282931643547	0.8136812448756902
T cells CD8	Female_vs_Male_within_IPAH	2	3	6	-0.0097084546765875	Lower_in_Group_1	0.5186050164287257	0.9429182116885921
T cells CD4 naive	Female_vs_Male_within_IPAH	2	3	6	0	No_difference		
T cells CD4 memory resting	Female_vs_Male_within_IPAH	2	3	6	0.04670056759107849	Higher_in_Group_1	0.36615656019406057	0.8136812448756902
