Cell	Comparison	Analysis_layer	Group_1	Group_2	Cliffs_delta	Absolute_delta	Direction	Magnitude
Monocytes	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.8041958041958042	0.8041958041958042	Lower_in_Group_1	large
T cells CD8	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.7762237762237763	0.7762237762237763	Lower_in_Group_1	large
T cells CD4 memory activated	Female_vs_Male_within_IPAH	Primary	Female	Male	0.6853146853146853	0.6853146853146853	Higher_in_Group_1	large
T cells regulatory (Tregs)	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.6783216783216783	0.6783216783216783	Lower_in_Group_1	large
Macrophages M1	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.6363636363636364	0.6363636363636364	Lower_in_Group_1	large
Dendritic cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.5524475524475524	0.5524475524475524	Lower_in_Group_1	large
T cells CD4 naive	Female_vs_Male_within_IPAH	Primary	Female	Male	0.5384615384615384	0.5384615384615384	Higher_in_Group_1	large
Macrophages M0	Female_vs_Male_within_IPAH	Primary	Female	Male	0.4825174825174825	0.4825174825174825	Higher_in_Group_1	large
T cells follicular helper	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.46853146853146854	0.46853146853146854	Lower_in_Group_1	medium
Macrophages M2	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.34265734265734266	0.34265734265734266	Lower_in_Group_1	medium
T cells CD4 memory resting	Female_vs_Male_within_IPAH	Primary	Female	Male	0.32867132867132864	0.32867132867132864	Higher_in_Group_1	small
Eosinophils	Female_vs_Male_within_IPAH	Primary	Female	Male	0.32867132867132864	0.32867132867132864	Higher_in_Group_1	small
B cells naive	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.3006993006993007	0.3006993006993007	Lower_in_Group_1	small
Mast cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	0.2727272727272727	0.2727272727272727	Higher_in_Group_1	small
Dendritic cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.25874125874125875	0.25874125874125875	Lower_in_Group_1	small
Neutrophils	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.23076923076923078	0.23076923076923078	Lower_in_Group_1	small
Mast cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	0.17482517482517482	0.17482517482517482	Higher_in_Group_1	small
NK cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	-0.11888111888111888	0.11888111888111888	Lower_in_Group_1	negligible
B cells memory	Female_vs_Male_within_IPAH	Primary	Female	Male	0.09090909090909091	0.09090909090909091	Higher_in_Group_1	negligible
