Cell	Comparison	Analysis_layer	Group_1	Group_2	Group_1_n	Group_2_n	Group_1_median	Group_2_median	Difference_in_medians	P_value	FDR	Cliffs_delta	Absolute_delta	Direction	Magnitude
Monocytes	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0410866034667516	0.0477852579979946	-0.00669865453124299	9.586703175410408e-4	0.01584005456654411	-0.8041958041958042	0.8041958041958042	Lower_in_Group_1	large
T cells CD8	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0675738395230614	0.0810688072143864	-0.013494967691325	0.00144000496059491	0.01584005456654411	-0.7762237762237763	0.7762237762237763	Lower_in_Group_1	large
T cells CD4 memory activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0211397826897193	3.095246296913e-4	0.02083025806002799	0.00463230674331119	0.02696449936825166	0.6853146853146853	0.6853146853146853	Higher_in_Group_1	large
T cells regulatory (Tregs)	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.06063316504634	0.124252914076814	-0.06361974903047402	0.00541993820585915	0.02696449936825166	-0.6783216783216783	0.6783216783216783	Lower_in_Group_1	large
T cells CD4 naive	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0068071451661587	0	0.0068071451661587	0.00612829531096628	0.02696449936825166	0.5384615384615384	0.5384615384615384	Higher_in_Group_1	large
Macrophages M1	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0095624302491275	0.0136076931222886	-0.0040452628731611	0.00913008036270764	0.03347696132992803	-0.6363636363636364	0.6363636363636364	Lower_in_Group_1	large
Dendritic cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.01487589883631	0.0226409650226071	-0.00776506618629709	0.02372876650877687	0.07457612331329874	-0.5524475524475524	0.5524475524475524	Lower_in_Group_1	large
T cells follicular helper	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0.0087150722650175	-0.0087150722650175	0.0443808841344559	0.11942679689437943	-0.46853146853146854	0.46853146853146854	Lower_in_Group_1	medium
Macrophages M0	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0274533310506335	0.0225195694184136	0.0049337616322199	0.04885641691133704	0.11942679689437943	0.4825174825174825	0.4825174825174825	Higher_in_Group_1	large
Macrophages M2	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.014547059539442	0.0229937268734426	-0.00844666733400059	0.16438404758801323	0.3091552091199464	-0.34265734265734266	0.34265734265734266	Lower_in_Group_1	medium
Mast cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0	0	0.17055634401823636	0.3091552091199464	0.2727272727272727	0.2727272727272727	Higher_in_Group_1	small
Eosinophils	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0309419981016169	0.0300988843077498	8.431137938671e-4	0.18230193206283948	0.3091552091199464	0.32867132867132864	0.32867132867132864	Higher_in_Group_1	small
T cells CD4 memory resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.414659518218473	0.398618387783093	0.01604113043538002	0.1826826235708774	0.3091552091199464	0.32867132867132864	0.32867132867132864	Higher_in_Group_1	small
B cells naive	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0308564376577747	0.0404892703797502	-0.00963283272197549	0.22373076260023592	0.3515769126575136	-0.3006993006993007	0.3006993006993007	Lower_in_Group_1	small
Dendritic cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0153115593406296	0.0188127071363973	-0.0035011477957677	0.297014144258047	0.43562074491180225	-0.25874125874125875	0.25874125874125875	Lower_in_Group_1	small
Neutrophils	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0038740030817115	0.0086757443159304	-0.0048017412342189	0.3535155463163329	0.48608387618495774	-0.23076923076923078	0.23076923076923078	Lower_in_Group_1	small
T cells gamma delta	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0	0	0.403018769211216	0.521553701332162	0.07692307692307693	0.07692307692307693	Higher_in_Group_1	negligible
Mast cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0774903303823772	0.077350344909603	1.3998547277419005e-4	0.4869058162604925	0.5951071087628241	0.17482517482517482	0.17482517482517482	Higher_in_Group_1	small
NK cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0129048122930154	0.0279868577640383	-0.01508204547102289	0.640457161550384	0.7415819765320236	-0.11888111888111888	0.11888111888111888	Lower_in_Group_1	negligible
B cells memory	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0094085679767909	0	0.0094085679767909	0.7147076041668222	0.7563868610507078	0.09090909090909091	0.09090909090909091	Higher_in_Group_1	negligible
Plasma cells	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0	0	0.7220056400938575	0.7563868610507078	0.08391608391608392	0.08391608391608392	Higher_in_Group_1	negligible
NK cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.052343818396039	0.0530830431654512	-7.392247694121973e-4	0.8620150697772326	0.8620150697772326	0.04895104895104895	0.04895104895104895	Higher_in_Group_1	negligible
Neutrophils	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.00454400360923095	0.00828478314737425	-0.0037407795381433	0.00428836902410984	0.09434411853041666	-0.4826388888888889	0.4826388888888889	Lower_in_Group_1	large
Macrophages M0	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.02591488304545969	0.02189060991625925	0.00402427312920044	0.24401479744248236	1	0.19791666666666666	0.19791666666666666	Higher_in_Group_1	small
