Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM9117456	0.0664978760971989	0	0	0.0939330372260995	0	0.332201981678768	0.0195919829972658	0.0162850142077885	0.105349317246668	0	0.0156065550470706	0.052343818396039	0.0496070215268754	0.0374711876737621	0.0145169106224575	0.0223297091602898	0.0277074535408654	0.0140559223455214	0.0992745494146379	0	0.0306123764863151	0.00261528633237739	0	0.357798284979159	0.943106156214496
GSM9117457	0.0316453221512355	0.0002098191664431	5.45324835797807e-05	0.074057455576764	0	0.476518637112105	0.0211397826897193	0.00638890022941005	0.0648106660023051	0	0.0376639485414189	0.05107743122027	0.0418604919723481	0.025149706367062	0.00956243024912753	0.0143050390906406	0.0181532816378222	0.0163134884631652	0.07405735227998	0	0.0279930783181221	0.00903863644848146	0	0.20883485616789	1.0344266912192
GSM9117458	0.0264204121767538	0.0134343721696351	0	0.0627552280990062	0	0.392001975551895	0.0287133325136842	0.0396643342766404	0.102438101503395	0	0.0818163843993563	0.010457763921476	0.0465717436327395	0.0234206643902772	0.0136176838790097	0.017584886603203	0.0194738085311275	0.0127523564825393	0.0556790322932175	0.0147564418233595	0.031616371655528	0.00682510609715631	0	0.66613177944389	0.757109743525495
GSM9117459	0.0848426353263839	0	0	0.0980490536027534	0	0.312263696822398	0.00564654593408619	0.00931950461459741	0.136387042629678	0	0.0254447535284057	0.0475281630323935	0.0565460214846388	0.0231805856176816	0.015345720605824	0.0236076329911937	0.0284646696824456	0.0139527926427825	0.0847238403545746	0	0.0334389933542078	0.00125834777595492	0	0.448908912461438	0.894224047159039
GSM9117460	0.0834673139584815	0	0	0.0914985161086553	0	0.329021003838217	0	0.0185051680215418	0.143672413663834	0	0.0480301488467361	0.0495679116715132	0.0570557179012403	0.0190306736167216	0.0136076931222886	0.0117494757578093	0.0242960590494942	0.0196980480786584	0.0446687268507229	0.00288147794763607	0.0432496515664494	0	0	0.473257543266243	0.881732673858455
GSM9117461	0.0279904086440255	0.0263478133208997	0	0.0760333043980477	0	0.361581812083416	0	0.00871507226501756	0.131807298683664	0	0	0.102300252684576	0.0473150661324066	0.0395221872281219	0.0153656039538949	0.0314218440292453	0	0.0197893667165896	0.0936739837157837	0	0	0.0181359861443118	0	0.686038910351195	0.742965579999803
GSM9117462	0.0266135388702449	0.0130977195259472	0.0014527735766861	0.0895404364083836	0	0.401257149396158	0.0194045992900333	0.0141138273741702	0.100238440806286	0	0.0520787865860181	0.0289939504984198	0.0487429344147803	0.0349266093690366	0.0122992834637434	0.0138298632929005	0.0226360539665984	0.01017337999602	0.0812790241520159	0.00525645250580176	0.0207595676866256	0.00330560882012992	0	0.734488921951459	0.707601758072982
GSM9117463	0.025924133025458	0.0140306815408162	0.00185824439145887	0.0858211015008813	0	0.432675348786249	0.0119137769353968	0.0160532162885338	0.0938158376316371	0	0.0355740043118375	0.0502528876934121	0.0498640750803146	0.0201399145614569	0.0118518553867239	0.012904783205452	0.0241438032750293	0.0159519757205925	0.0665303504757485	0.000861102419776196	0.0237487585692077	0.0060841492000173	0	0.6550101936706	0.762336698028507
GSM9117464	0.0330271154707029	0.0586761249910911	0	0.0661739081722401	0.0148770108720574	0.327749081641988	0.00133185379743465	0.00105251951667812	0.158979394315183	0.00655420760238407	0.00961248768557391	0.0632639779576998	0.0418710349759272	0.013411484901946	0.0175699168096349	0.0429946985552261	0.0284803970083212	0.0216552238672084	0.0628852879885858	0	0.00867329296111499	0.021160980909002	0	0.56532364856754	0.825645430438723
GSM9117465	0.0814864290095325	0	0	0.0951190959126303	0	0.305603050091293	0	0.00879126415928761	0.138519922619365	0	0.0265341937831671	0.0556977975092249	0.0538915821539076	0.0466611456980059	0.0139100460168497	0.0266031310942595	0.0261522938983161	0.0236656747560889	0.0973643732980718	0	0	0	0	0.573946871140983	0.821275617068097
GSM9117466	0.0404892703797502	0	0	0.0730726976908149	0	0.398618387783093	0.0116027608777959	0.00693997147850392	0.112776626574211	0	0.0635504538130001	0.0379910281921479	0.0477852579979946	0.036130650757306	0.0117759382059774	0.0156434121575764	0.0198700558994939	0.0057929670254174	0.0782824428687048	0	0.0300988843077498	0.00957919399046239	0	0.72993122740682	0.711032457924313
GSM9117467	0.0532751916666053	0	0	0.0691077611617177	0	0.40423956828297	0.000850199422727875	0.0165503323405235	0.0847787020196677	0	0.0451703511013197	0.0530830431654512	0.0472267318176273	0.00710203429192143	0.0121784366854334	0.0488246179729223	0.0226409650226071	0.0168429392405716	0.0752230956868567	0	0.0327711354913027	0.010134894629774	0	0.7115261941011	0.727768185272716
GSM9117468	0.0212592819335614	0.00428128478600701	0.00313198751859691	0.0708828032214844	0.0545910624791046	0.400840258545122	0.0782605251973384	0	0.0549786339479721	0	0.0813635060837067	0	0.0322970595167811	0.038565205128363	0.00739408564365261	0.0170759568389244	0.0134193063866895	0.0201905945590909	0.0401908763399368	0.0220469805397287	0.0310867316985191	0.00814385963542025	0	0.646604672082319	0.770960605636647
GSM9117469	0.0442880293731466	0	0	0.0773879371497715	0	0.400752015446609	0.0151972965081364	0.0156078628720048	0.135363304251195	0	0.0519388303596209	0.0321195925249128	0.0460565066944972	0.0162011557940853	0.0130005787151669	0.0126052015523495	0.0207752496830049	0.009923427429661	0.0755675929558006	0	0.0228150240633239	0.0104003946267139	0	0.723639914033368	0.711570978462964
GSM9117470	0.0711446822551753	0	0	0.0913396243365738	0	0.363720208935527	0.0058459787029676	0.00897265051871564	0.142521762331925	0	0.0404295610361568	0.0277819345786771	0.0512481801942089	0.0082698540602185	0.0136867028826418	0.0214897106536752	0.0248936031726856	0.0189938460069709	0.0625965129882283	0.0298506145599515	0	0.0172145727857014	0	0.623936392368976	0.786283933463551
GSM9117474	0.0224801078236201	0.016406930926154	0.00165328665707246	0.0854104028425312	0	0.380992151556485	0.0173365485643692	0.017673295662356	0.10996105922441	0	0.0446454067866199	0.0410488524377929	0.0553183539452681	0.0201026200617179	0.00989237503903129	0.0155290058248938	0.0224897976619902	0.0175304486835172	0.0765287093188056	0	0.0395743107843387	0.00542633619902574	0	0.61207965338931	0.79454281470952
GSM9117475	0.0268910596605822	0.0148708661029909	0	0.0716686047782567	0	0.38140817579798	0.0260413954029239	0.0123359557799423	0.106327333561519	0	0.0459731523402992	0.0380213853198013	0.040620643590691	0.0236413052710616	0.0119201176542695	0.0153801563310176	0.0186231227172663	0.01648178497867	0.0984526941017706	0	0.0437236650346452	0.00761858157631234	0	0.687972358682777	0.745015530835433
GSM9117476	0.0280667057924419	0.0117573206953966	0.000821608998361965	0.0783146287569193	0.0223488423271036	0.373681051276654	0.0106935196400038	0	0.135455102392494	0	0.0163003301990202	0.0624402747867977	0.0447843510712032	0.0185810991799258	0.011747962893118	0.0315683174586423	0.0170704450719631	0.0131924232588118	0.0783964369838992	0	0.0352133952868765	0.00956618393036709	0	0.71166131138557	0.723848642304269
GSM9117488	0.0353154818346749	0.0142639295548429	0.00562044385961897	0.0947123318177466	0	0.374424736167105	0.000309524629691374	0.00756026874496342	0.124252914076814	0	0.0086366463362394	0.0589146290978424	0.0526759065347525	0.0246761283389085	0.0155146941244125	0.0133400733475955	0.0274639898644965	0.0183622234078981	0.0820253628128998	0	0.0332549711335678	0.00867574431593048	0	0.507341273341848	0.86095672294621
GSM9117489	0.00394259389726972	0.0286658828936825	0.0144136459058395	0.0799672120348358	0	0.514163312690772	0.0443750173349558	0	0.0152943727471324	0	0.0536236635667118	0.0199275712521196	0.0469768459532415	0.0157437061861811	0.0123972580760338	0.0143624046498224	0.0202497128227125	0.0239536114706707	0.0656105228799851	0.00317843533705464	0.0222366058925611	0.000917624408417793	0	0.0891123042968745	1.09220288496038
GSM9117490	0.0239953132790005	0.0189813359189082	0.00259198752943694	0.0951115156881574	0	0.42923206730436	0	0.00781591534616293	0.0998902056930462	0	0	0.0753650949180371	0.0533160819271083	0.0182122253576989	0.0148932950070801	0.0229937268734426	0.0266548041226913	0.0188127071363973	0.077350344909603	0	0	0.0147833789888695	0	0.553007278725591	0.832315035946489
GSM9117491	0.015133602384609	0.0363349965676317	0.00828427726670725	0.0810688072143864	0	0.439459959306976	0.0197472316833586	0	0.0933591102963826	0	0.0401180540438536	0.0296941949598012	0.0448711944441973	0.0225195694184136	0.0100326699428348	0.017068849168193	0.020830411707385	0.0203510273560738	0.0628240523097005	0	0.0339957944733727	0.0043061974561229	0	0.54697860087663	0.83640362419424
GSM9117492	0.0456321441584203	0	0	0.0804993926904544	0	0.414527395586738	0	0.0303976411769285	0.137173427310137	0	0.0279868577640383	0.0574534260290178	0.0449368237734518	0.0137200614513167	0.0109275563768958	0.0237968669024558	0.0175403813574537	0.0179827996313839	0.0629256952734007	0	0.00530479939793488	0.00919473111997189	0	0.644212076737177	0.767897669334321
GSM9117493	0.0334747546653084	0	0	0.0737765993397256	0.0465539453220426	0.44257881213805	0.015659227008775	0	0.0385091185450657	0	0.000886933431255107	0.0906766389178773	0.0410866034667516	0.0232311656984354	0.0207905242833713	0.0228157722997572	0.0239492579206768	0.0206198712525603	0.0296115732144784	0.0303346419126084	0.0415705575015491	0.00387400308171152	0	0.025042620206242	1.12598936716144
GSM9117494	0.00591603624205616	0.0298673123327904	0.00912224671362183	0.0732331341011146	0.0403391466453282	0.414659518218473	0.0314474200734062	0	0.0835320448387949	0	0.0555362409292302	0.0287545120504937	0.0416373714957455	0.027318529486003	0.00733491282284887	0.0138155110385477	0.0173386130725679	0.0193537096038009	0.0585804682106984	0.00363788850100839	0.0309419981016169	0.00763338552185331	0	0.521660209661605	0.852462837872887
GSM9117495	0.0188810026255297	0.0147895522621807	0.00440199982490094	0.0694464934536242	0.0281495821870297	0.396980716880843	0.0630920761797977	0	0.0672138767119628	0	0.086922897239157	0.000965031462420344	0.0394804091270868	0.042301364444999	0.0108209620810677	0.0183060382502851	0.0104824429128882	0.0167670030440704	0.0748374178548133	0.00803498773267901	0.0244221880415292	0.00370395768313499	0	0.575970829553411	0.818861521554379
GSM9117496	0.0208970496036133	0.00940856797679096	0.00331694663456443	0.0675738395230614	0.042172172566569	0.398144157247974	0.075131685078832	0	0.06063316504634	0	0.0835695688845527	0	0.0389293799688759	0.0365785590754305	0.00722416262673299	0.014547059539442	0.01487589883631	0.0153115593406296	0.0728104043504052	0.0118349709497042	0.0222590429878329	0.00478180976233904	0	0.550967348269194	0.834282096907792
GSM9117497	0.0308564376577747	0.0295705371329931	0	0.0481577095366265	0	0.3934954570513	0	0.0133024845953851	0.117600470422105	0	0	0.0828056730396078	0.0342607080999352	0.0360563538234056	0.00669875314921724	0.0501308994445353	0	0.0270079042687448	0.107223711173521	0	0.015676183499449	0.00715671710539889	0	0.599819295930858	0.803576998024074
