Cell	Comparison	Analysis_layer	Group_1	Group_2	Group_1_n	Group_2_n	Group_1_median	Group_2_median	Difference_in_medians	P_value	FDR
Monocytes	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0410866034667516	0.0477852579979946	-0.006698654531242999	9.586703175410408e-4	0.015840054566544113
T cells CD8	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0675738395230614	0.0810688072143864	-0.013494967691325008	0.0014400049605949193	0.015840054566544113
T cells CD4 memory activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0211397826897193	3.095246296913e-4	0.020830258060027997	0.004632306743311193	0.026964499368251668
T cells regulatory (Tregs)	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.06063316504634	0.124252914076814	-0.06361974903047402	0.005419938205859153	0.026964499368251668
T cells CD4 naive	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0068071451661587	0	0.0068071451661587	0.006128295310966288	0.026964499368251668
Macrophages M1	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0095624302491275	0.0136076931222886	-0.0040452628731611	0.009130080362707647	0.033476961329928036
Dendritic cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.01487589883631	0.0226409650226071	-0.0077650661862970986	0.023728766508776873	0.07457612331329874
T cells follicular helper	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0.0087150722650175	-0.0087150722650175	0.0443808841344559	0.11942679689437945
Macrophages M0	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0274533310506335	0.0225195694184136	0.0049337616322199	0.04885641691133704	0.11942679689437945
Macrophages M2	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.014547059539442	0.0229937268734426	-0.008446667334000598	0.16438404758801325	0.3091552091199464
Mast cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0	0	0.17055634401823636	0.3091552091199464
Eosinophils	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0309419981016169	0.0300988843077498	8.431137938671e-4	0.18230193206283948	0.3091552091199464
T cells CD4 memory resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.414659518218473	0.398618387783093	0.016041130435380024	0.1826826235708774	0.3091552091199464
B cells naive	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0308564376577747	0.0404892703797502	-0.009632832721975498	0.22373076260023594	0.3515769126575136
Dendritic cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0153115593406296	0.0188127071363973	-0.0035011477957677013	0.297014144258047	0.43562074491180225
Neutrophils	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0038740030817115	0.0086757443159304	-0.004801741234218901	0.3535155463163329	0.48608387618495774
T cells gamma delta	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0	0	0.40301876921121604	0.521553701332162
Mast cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0774903303823772	0.077350344909603	1.3998547277419005e-4	0.48690581626049245	0.5951071087628241
NK cells resting	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0129048122930154	0.0279868577640383	-0.015082045471022898	0.640457161550384	0.7415819765320236
B cells memory	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.0094085679767909	0	0.0094085679767909	0.7147076041668222	0.7563868610507078
Plasma cells	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0	0	0	0.7220056400938575	0.7563868610507078
NK cells activated	Female_vs_Male_within_IPAH	Primary	Female	Male	13	11	0.052343818396039	0.0530830431654512	-7.392247694121973e-4	0.8620150697772326	0.8620150697772326
Neutrophils	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.00454400360923095	0.00828478314737425	-0.0037407795381433004	0.004288369024109848	0.09434411853041666
